instant,dateday,season,year,month,holiday,day_of_week,workingday,weather_situation,temp,atemp,humidity,casual,registered,count,humidity_category
20,2011-01-20,Spring,2011,Jan,0,Thu,1,Misty,0.261667,0.25505,5383.329999999999,83,1844,1927,Terlalu Lembab
21,2011-01-21,Spring,2011,Jan,0,Fri,1,Clear,0.1775,0.157833,4570.83,75,1468,1543,Terlalu Lembab
22,2011-01-22,Spring,2011,Jan,0,Sat,0,Clear,0.0591304,0.0790696,4000.0,93,888,981,Terlalu Lembab
23,2011-01-23,Spring,2011,Jan,0,Sun,0,Clear,0.0965217,0.0988391,4365.22,150,836,986,Terlalu Lembab
24,2011-01-24,Spring,2011,Jan,0,Mon,1,Clear,0.0973913,0.11793,4917.389999999999,86,1330,1416,Terlalu Lembab
25,2011-01-25,Spring,2011,Jan,0,Tue,1,Misty,0.223478,0.234526,6169.57,186,1799,1985,Terlalu Lembab
26,2011-01-26,Spring,2011,Jan,0,Wed,1,Light_rainsnow,0.2175,0.2036,8625.0,34,472,506,Terlalu Lembab
27,2011-01-27,Spring,2011,Jan,0,Thu,1,Clear,0.195,0.2197,6875.0,15,416,431,Terlalu Lembab
28,2011-01-28,Spring,2011,Jan,0,Fri,1,Misty,0.203478,0.223317,7930.430000000001,38,1129,1167,Terlalu Lembab
29,2011-01-29,Spring,2011,Jan,0,Sat,0,Clear,0.196522,0.212126,6517.3899999999985,123,975,1098,Terlalu Lembab
30,2011-01-30,Spring,2011,Jan,0,Sun,0,Clear,0.216522,0.250322,7221.74,140,956,1096,Terlalu Lembab
31,2011-01-31,Spring,2011,Jan,0,Mon,1,Misty,0.180833,0.18625,6037.5,42,1459,1501,Terlalu Lembab
32,2011-02-01,Spring,2011,Feb,0,Tue,1,Misty,0.192174,0.23453,8295.650000000001,47,1313,1360,Terlalu Lembab
33,2011-02-02,Spring,2011,Feb,0,Wed,1,Misty,0.26,0.254417,7754.170000000001,72,1454,1526,Terlalu Lembab
34,2011-02-03,Spring,2011,Feb,0,Thu,1,Clear,0.186957,0.177878,4378.26,61,1489,1550,Terlalu Lembab
35,2011-02-04,Spring,2011,Feb,0,Fri,1,Misty,0.211304,0.228587,5852.169999999999,88,1620,1708,Terlalu Lembab
36,2011-02-05,Spring,2011,Feb,0,Sat,0,Misty,0.233333,0.243058,9291.669999999998,100,905,1005,Terlalu Lembab
37,2011-02-06,Spring,2011,Feb,0,Sun,0,Clear,0.285833,0.291671,5683.329999999999,354,1269,1623,Terlalu Lembab
38,2011-02-07,Spring,2011,Feb,0,Mon,1,Clear,0.271667,0.303658,7383.330000000001,120,1592,1712,Terlalu Lembab
39,2011-02-08,Spring,2011,Feb,0,Tue,1,Clear,0.220833,0.198246,5379.17,64,1466,1530,Terlalu Lembab
40,2011-02-09,Spring,2011,Feb,0,Wed,1,Misty,0.134783,0.144283,4947.83,53,1552,1605,Terlalu Lembab
41,2011-02-10,Spring,2011,Feb,0,Thu,1,Clear,0.144348,0.149548,4373.91,47,1491,1538,Terlalu Lembab
42,2011-02-11,Spring,2011,Feb,0,Fri,1,Clear,0.189091,0.213509,5063.64,149,1597,1746,Terlalu Lembab
43,2011-02-12,Spring,2011,Feb,0,Sat,0,Clear,0.2225,0.232954,5441.67,288,1184,1472,Terlalu Lembab
44,2011-02-13,Spring,2011,Feb,0,Sun,0,Clear,0.316522,0.324113,4573.91,397,1192,1589,Terlalu Lembab
45,2011-02-14,Spring,2011,Feb,0,Mon,1,Clear,0.415,0.39835,3758.3299999999995,208,1705,1913,Terlalu Lembab
46,2011-02-15,Spring,2011,Feb,0,Tue,1,Clear,0.266087,0.254274,3143.4800000000005,140,1675,1815,Terlalu Lembab
47,2011-02-16,Spring,2011,Feb,0,Wed,1,Clear,0.318261,0.3162,4234.78,218,1897,2115,Terlalu Lembab
48,2011-02-17,Spring,2011,Feb,0,Thu,1,Clear,0.435833,0.428658,5050.0,259,2216,2475,Terlalu Lembab
49,2011-02-18,Spring,2011,Feb,0,Fri,1,Clear,0.521667,0.511983,5166.67,579,2348,2927,Terlalu Lembab
50,2011-02-19,Spring,2011,Feb,0,Sat,0,Clear,0.399167,0.391404,1879.1699999999998,532,1103,1635,Terlalu Lembab
51,2011-02-20,Spring,2011,Feb,0,Sun,0,Clear,0.285217,0.27733,4078.26,639,1173,1812,Terlalu Lembab
52,2011-02-21,Spring,2011,Feb,1,Mon,0,Misty,0.303333,0.284075,6050.0,195,912,1107,Terlalu Lembab
53,2011-02-22,Spring,2011,Feb,0,Tue,1,Clear,0.182222,0.186033,5777.78,74,1376,1450,Terlalu Lembab
54,2011-02-23,Spring,2011,Feb,0,Wed,1,Clear,0.221739,0.245717,4230.429999999999,139,1778,1917,Terlalu Lembab
55,2011-02-24,Spring,2011,Feb,0,Thu,1,Misty,0.295652,0.289191,6973.909999999999,100,1707,1807,Terlalu Lembab
56,2011-02-25,Spring,2011,Feb,0,Fri,1,Misty,0.364348,0.350461,7121.74,120,1341,1461,Terlalu Lembab
57,2011-02-26,Spring,2011,Feb,0,Sat,0,Clear,0.2825,0.282192,5379.17,424,1545,1969,Terlalu Lembab
58,2011-02-27,Spring,2011,Feb,0,Sun,0,Clear,0.343478,0.351109,6800.0,694,1708,2402,Terlalu Lembab
59,2011-02-28,Spring,2011,Feb,0,Mon,1,Misty,0.407273,0.400118,8763.640000000001,81,1365,1446,Terlalu Lembab
60,2011-03-01,Spring,2011,Mar,0,Tue,1,Clear,0.266667,0.263879,5350.0,137,1714,1851,Terlalu Lembab
61,2011-03-02,Spring,2011,Mar,0,Wed,1,Clear,0.335,0.320071,4495.83,231,1903,2134,Terlalu Lembab
62,2011-03-03,Spring,2011,Mar,0,Thu,1,Clear,0.198333,0.200133,3183.33,123,1562,1685,Terlalu Lembab
63,2011-03-04,Spring,2011,Mar,0,Fri,1,Misty,0.261667,0.255679,6104.17,214,1730,1944,Terlalu Lembab
64,2011-03-05,Spring,2011,Mar,0,Sat,0,Misty,0.384167,0.378779,7891.669999999999,640,1437,2077,Terlalu Lembab
65,2011-03-06,Spring,2011,Mar,0,Sun,0,Misty,0.376522,0.366252,9482.61,114,491,605,Terlalu Lembab
66,2011-03-07,Spring,2011,Mar,0,Mon,1,Clear,0.261739,0.238461,5513.04,244,1628,1872,Terlalu Lembab
67,2011-03-08,Spring,2011,Mar,0,Tue,1,Clear,0.2925,0.3024,4208.33,316,1817,2133,Terlalu Lembab
68,2011-03-09,Spring,2011,Mar,0,Wed,1,Misty,0.295833,0.286608,7754.170000000001,191,1700,1891,Terlalu Lembab
69,2011-03-10,Spring,2011,Mar,0,Thu,1,Light_rainsnow,0.389091,0.385668,0.0,46,577,623,Terlalu kering
70,2011-03-11,Spring,2011,Mar,0,Fri,1,Misty,0.316522,0.305,6495.649999999999,247,1730,1977,Terlalu Lembab
71,2011-03-12,Spring,2011,Mar,0,Sat,0,Clear,0.329167,0.32575,5945.829999999999,724,1408,2132,Terlalu Lembab
72,2011-03-13,Spring,2011,Mar,0,Sun,0,Clear,0.384348,0.380091,5273.910000000001,982,1435,2417,Terlalu Lembab
73,2011-03-14,Spring,2011,Mar,0,Mon,1,Clear,0.325217,0.332,4969.57,359,1687,2046,Terlalu Lembab
74,2011-03-15,Spring,2011,Mar,0,Tue,1,Misty,0.317391,0.318178,6556.52,289,1767,2056,Terlalu Lembab
75,2011-03-16,Spring,2011,Mar,0,Wed,1,Misty,0.365217,0.36693,7765.220000000001,321,1871,2192,Terlalu Lembab
76,2011-03-17,Spring,2011,Mar,0,Thu,1,Clear,0.415,0.410333,6029.170000000001,424,2320,2744,Terlalu Lembab
77,2011-03-18,Spring,2011,Mar,0,Fri,1,Clear,0.54,0.527009,5252.17,884,2355,3239,Terlalu Lembab
78,2011-03-19,Spring,2011,Mar,0,Sat,0,Clear,0.4725,0.466525,3791.67,1424,1693,3117,Terlalu Lembab
79,2011-03-20,Spring,2011,Mar,0,Sun,0,Clear,0.3325,0.32575,4737.5,1047,1424,2471,Terlalu Lembab
80,2011-03-21,Summer,2011,Mar,0,Mon,1,Misty,0.430435,0.409735,7373.910000000001,401,1676,2077,Terlalu Lembab
81,2011-03-22,Summer,2011,Mar,0,Tue,1,Clear,0.441667,0.440642,6245.83,460,2243,2703,Terlalu Lembab
82,2011-03-23,Summer,2011,Mar,0,Wed,1,Misty,0.346957,0.337939,8395.650000000001,203,1918,2121,Terlalu Lembab
83,2011-03-24,Summer,2011,Mar,0,Thu,1,Misty,0.285,0.270833,8058.330000000001,166,1699,1865,Terlalu Lembab
84,2011-03-25,Summer,2011,Mar,0,Fri,1,Clear,0.264167,0.256312,4950.0,300,1910,2210,Terlalu Lembab
85,2011-03-26,Summer,2011,Mar,0,Sat,0,Clear,0.265833,0.257571,3941.67,981,1515,2496,Terlalu Lembab
86,2011-03-27,Summer,2011,Mar,0,Sun,0,Misty,0.253043,0.250339,4939.13,472,1221,1693,Terlalu Lembab
87,2011-03-28,Summer,2011,Mar,0,Mon,1,Clear,0.264348,0.257574,3021.7400000000002,222,1806,2028,Terlalu Lembab
88,2011-03-29,Summer,2011,Mar,0,Tue,1,Clear,0.3025,0.292908,3141.67,317,2108,2425,Terlalu Lembab
89,2011-03-30,Summer,2011,Mar,0,Wed,1,Misty,0.3,0.29735,6466.670000000001,168,1368,1536,Terlalu Lembab
90,2011-03-31,Summer,2011,Mar,0,Thu,1,Light_rainsnow,0.268333,0.257575,9183.33,179,1506,1685,Terlalu Lembab
91,2011-04-01,Summer,2011,Apr,0,Fri,1,Misty,0.3,0.283454,6862.5,307,1920,2227,Terlalu Lembab
92,2011-04-02,Summer,2011,Apr,0,Sat,0,Misty,0.315,0.315637,6537.5,898,1354,2252,Terlalu Lembab
93,2011-04-03,Summer,2011,Apr,0,Sun,0,Clear,0.378333,0.378767,4800.0,1651,1598,3249,Terlalu Lembab
94,2011-04-04,Summer,2011,Apr,0,Mon,1,Clear,0.573333,0.542929,4262.5,734,2381,3115,Terlalu Lembab
95,2011-04-05,Summer,2011,Apr,0,Tue,1,Misty,0.414167,0.39835,6420.829999999999,167,1628,1795,Terlalu Lembab
96,2011-04-06,Summer,2011,Apr,0,Wed,1,Clear,0.390833,0.387608,4708.33,413,2395,2808,Terlalu Lembab
97,2011-04-07,Summer,2011,Apr,0,Thu,1,Clear,0.4375,0.433696,6029.170000000001,571,2570,3141,Terlalu Lembab
98,2011-04-08,Summer,2011,Apr,0,Fri,1,Misty,0.335833,0.324479,8362.5,172,1299,1471,Terlalu Lembab
99,2011-04-09,Summer,2011,Apr,0,Sat,0,Misty,0.3425,0.341529,8775.0,879,1576,2455,Terlalu Lembab
100,2011-04-10,Summer,2011,Apr,0,Sun,0,Misty,0.426667,0.426737,8575.0,1188,1707,2895,Terlalu Lembab
101,2011-04-11,Summer,2011,Apr,0,Mon,1,Misty,0.595652,0.565217,7169.5599999999995,855,2493,3348,Terlalu Lembab
102,2011-04-12,Summer,2011,Apr,0,Tue,1,Misty,0.5025,0.493054,7391.670000000001,257,1777,2034,Terlalu Lembab
103,2011-04-13,Summer,2011,Apr,0,Wed,1,Misty,0.4125,0.417283,8191.669999999999,209,1953,2162,Terlalu Lembab
104,2011-04-14,Summer,2011,Apr,0,Thu,1,Clear,0.4675,0.462742,5404.170000000001,529,2738,3267,Terlalu Lembab
105,2011-04-15,Summer,2011,Apr,1,Fri,0,Clear,0.446667,0.441913,6712.5,642,2484,3126,Terlalu Lembab
106,2011-04-16,Summer,2011,Apr,0,Sat,0,Light_rainsnow,0.430833,0.425492,8883.330000000002,121,674,795,Terlalu Lembab
107,2011-04-17,Summer,2011,Apr,0,Sun,0,Clear,0.456667,0.445696,4795.83,1558,2186,3744,Terlalu Lembab
108,2011-04-18,Summer,2011,Apr,0,Mon,1,Clear,0.5125,0.503146,5425.0,669,2760,3429,Terlalu Lembab
109,2011-04-19,Summer,2011,Apr,0,Tue,1,Misty,0.505833,0.489258,6658.329999999999,409,2795,3204,Terlalu Lembab
110,2011-04-20,Summer,2011,Apr,0,Wed,1,Clear,0.595,0.564392,6141.67,613,3331,3944,Terlalu Lembab
111,2011-04-21,Summer,2011,Apr,0,Thu,1,Clear,0.459167,0.453892,4070.8299999999995,745,3444,4189,Terlalu Lembab
112,2011-04-22,Summer,2011,Apr,0,Fri,1,Misty,0.336667,0.321954,7295.829999999999,177,1506,1683,Terlalu Lembab
113,2011-04-23,Summer,2011,Apr,0,Sat,0,Misty,0.46,0.450121,8879.169999999998,1462,2574,4036,Terlalu Lembab
114,2011-04-24,Summer,2011,Apr,0,Sun,0,Misty,0.581667,0.551763,8108.330000000001,1710,2481,4191,Terlalu Lembab
115,2011-04-25,Summer,2011,Apr,0,Mon,1,Clear,0.606667,0.5745,7766.670000000001,773,3300,4073,Terlalu Lembab
116,2011-04-26,Summer,2011,Apr,0,Tue,1,Clear,0.631667,0.594083,7291.670000000001,678,3722,4400,Terlalu Lembab
117,2011-04-27,Summer,2011,Apr,0,Wed,1,Misty,0.62,0.575142,8354.169999999998,547,3325,3872,Terlalu Lembab
118,2011-04-28,Summer,2011,Apr,0,Thu,1,Misty,0.6175,0.578929,7008.330000000001,569,3489,4058,Terlalu Lembab
119,2011-04-29,Summer,2011,Apr,0,Fri,1,Clear,0.51,0.497463,4570.83,878,3717,4595,Terlalu Lembab
120,2011-04-30,Summer,2011,Apr,0,Sat,0,Clear,0.4725,0.464021,5033.33,1965,3347,5312,Terlalu Lembab
121,2011-05-01,Summer,2011,May,0,Sun,0,Misty,0.451667,0.448204,7620.829999999999,1138,2213,3351,Terlalu Lembab
122,2011-05-02,Summer,2011,May,0,Mon,1,Misty,0.549167,0.532833,7300.0,847,3554,4401,Terlalu Lembab
123,2011-05-03,Summer,2011,May,0,Tue,1,Misty,0.616667,0.582079,6970.829999999999,603,3848,4451,Terlalu Lembab
124,2011-05-04,Summer,2011,May,0,Wed,1,Misty,0.414167,0.40465,7370.830000000001,255,2378,2633,Terlalu Lembab
125,2011-05-05,Summer,2011,May,0,Thu,1,Clear,0.459167,0.441917,4441.67,614,3819,4433,Terlalu Lembab
126,2011-05-06,Summer,2011,May,0,Fri,1,Clear,0.479167,0.474117,5900.0,894,3714,4608,Terlalu Lembab
127,2011-05-07,Summer,2011,May,0,Sat,0,Clear,0.52,0.512621,5412.5,1612,3102,4714,Terlalu Lembab
128,2011-05-08,Summer,2011,May,0,Sun,0,Clear,0.528333,0.518933,6316.67,1401,2932,4333,Terlalu Lembab
129,2011-05-09,Summer,2011,May,0,Mon,1,Clear,0.5325,0.525246,5887.5,664,3698,4362,Terlalu Lembab
130,2011-05-10,Summer,2011,May,0,Tue,1,Clear,0.5325,0.522721,4891.67,694,4109,4803,Terlalu Lembab
131,2011-05-11,Summer,2011,May,0,Wed,1,Clear,0.5425,0.5284,6329.169999999999,550,3632,4182,Terlalu Lembab
132,2011-05-12,Summer,2011,May,0,Thu,1,Clear,0.535,0.523363,7475.0,695,4169,4864,Terlalu Lembab
133,2011-05-13,Summer,2011,May,0,Fri,1,Misty,0.5125,0.4943,8633.330000000002,692,3413,4105,Terlalu Lembab
134,2011-05-14,Summer,2011,May,0,Sat,0,Misty,0.520833,0.500629,9225.0,902,2507,3409,Terlalu Lembab
135,2011-05-15,Summer,2011,May,0,Sun,0,Misty,0.5625,0.536,8670.830000000002,1582,2971,4553,Terlalu Lembab
136,2011-05-16,Summer,2011,May,0,Mon,1,Clear,0.5775,0.550512,7879.169999999999,773,3185,3958,Terlalu Lembab
137,2011-05-17,Summer,2011,May,0,Tue,1,Misty,0.561667,0.538529,8379.17,678,3445,4123,Terlalu Lembab
138,2011-05-18,Summer,2011,May,0,Wed,1,Misty,0.55,0.527158,8700.0,536,3319,3855,Terlalu Lembab
139,2011-05-19,Summer,2011,May,0,Thu,1,Misty,0.530833,0.510742,8295.83,735,3840,4575,Terlalu Lembab
140,2011-05-20,Summer,2011,May,0,Fri,1,Clear,0.536667,0.529042,7195.829999999999,909,4008,4917,Terlalu Lembab
141,2011-05-21,Summer,2011,May,0,Sat,0,Clear,0.6025,0.571975,6266.67,2258,3547,5805,Terlalu Lembab
142,2011-05-22,Summer,2011,May,0,Sun,0,Clear,0.604167,0.5745,7495.829999999999,1576,3084,4660,Terlalu Lembab
143,2011-05-23,Summer,2011,May,0,Mon,1,Misty,0.631667,0.590296,8100.0,836,3438,4274,Terlalu Lembab
144,2011-05-24,Summer,2011,May,0,Tue,1,Misty,0.66,0.604813,7408.329999999999,659,3833,4492,Terlalu Lembab
145,2011-05-25,Summer,2011,May,0,Wed,1,Clear,0.660833,0.615542,6962.5,740,4238,4978,Terlalu Lembab
146,2011-05-26,Summer,2011,May,0,Thu,1,Clear,0.708333,0.654688,6775.0,758,3919,4677,Terlalu Lembab
147,2011-05-27,Summer,2011,May,0,Fri,1,Clear,0.681667,0.637008,6537.5,871,3808,4679,Terlalu Lembab
148,2011-05-28,Summer,2011,May,0,Sat,0,Clear,0.655833,0.612379,7295.829999999999,2001,2757,4758,Terlalu Lembab
149,2011-05-29,Summer,2011,May,0,Sun,0,Clear,0.6675,0.61555,8187.5,2355,2433,4788,Terlalu Lembab
150,2011-05-30,Summer,2011,May,1,Mon,0,Clear,0.733333,0.671092,6850.0,1549,2549,4098,Terlalu Lembab
151,2011-05-31,Summer,2011,May,0,Tue,1,Clear,0.775,0.725383,6366.67,673,3309,3982,Terlalu Lembab
152,2011-06-01,Summer,2011,Jun,0,Wed,1,Misty,0.764167,0.720967,6770.829999999999,513,3461,3974,Terlalu Lembab
153,2011-06-02,Summer,2011,Jun,0,Thu,1,Clear,0.715,0.643942,3050.0,736,4232,4968,Terlalu Lembab
154,2011-06-03,Summer,2011,Jun,0,Fri,1,Clear,0.62,0.587133,3541.67,898,4414,5312,Terlalu Lembab
155,2011-06-04,Summer,2011,Jun,0,Sat,0,Clear,0.635,0.594696,4562.5,1869,3473,5342,Terlalu Lembab
156,2011-06-05,Summer,2011,Jun,0,Sun,0,Misty,0.648333,0.616804,6525.0,1685,3221,4906,Terlalu Lembab
157,2011-06-06,Summer,2011,Jun,0,Mon,1,Clear,0.678333,0.621858,6000.0,673,3875,4548,Terlalu Lembab
158,2011-06-07,Summer,2011,Jun,0,Tue,1,Clear,0.7075,0.65595,5979.170000000001,763,4070,4833,Terlalu Lembab
159,2011-06-08,Summer,2011,Jun,0,Wed,1,Clear,0.775833,0.727279,6220.830000000001,676,3725,4401,Terlalu Lembab
160,2011-06-09,Summer,2011,Jun,0,Thu,1,Misty,0.808333,0.757579,5683.329999999999,563,3352,3915,Terlalu Lembab
161,2011-06-10,Summer,2011,Jun,0,Fri,1,Clear,0.755,0.703292,6050.0,815,3771,4586,Terlalu Lembab
162,2011-06-11,Summer,2011,Jun,0,Sat,0,Clear,0.725,0.678038,6545.830000000001,1729,3237,4966,Terlalu Lembab
163,2011-06-12,Summer,2011,Jun,0,Sun,0,Clear,0.6925,0.643325,7479.170000000001,1467,2993,4460,Terlalu Lembab
164,2011-06-13,Summer,2011,Jun,0,Mon,1,Clear,0.635,0.601654,4945.83,863,4157,5020,Terlalu Lembab
165,2011-06-14,Summer,2011,Jun,0,Tue,1,Clear,0.604167,0.591546,5070.829999999999,727,4164,4891,Terlalu Lembab
166,2011-06-15,Summer,2011,Jun,0,Wed,1,Clear,0.626667,0.587754,4716.67,769,4411,5180,Terlalu Lembab
167,2011-06-16,Summer,2011,Jun,0,Thu,1,Misty,0.628333,0.595346,6883.329999999999,545,3222,3767,Terlalu Lembab
168,2011-06-17,Summer,2011,Jun,0,Fri,1,Clear,0.649167,0.600383,7358.329999999999,863,3981,4844,Terlalu Lembab
169,2011-06-18,Summer,2011,Jun,0,Sat,0,Clear,0.696667,0.643954,6704.170000000001,1807,3312,5119,Terlalu Lembab
170,2011-06-19,Summer,2011,Jun,0,Sun,0,Misty,0.699167,0.645846,6666.670000000001,1639,3105,4744,Terlalu Lembab
171,2011-06-20,Summer,2011,Jun,0,Mon,1,Misty,0.635,0.595346,7462.5,699,3311,4010,Terlalu Lembab
172,2011-06-21,Fall,2011,Jun,0,Tue,1,Misty,0.680833,0.637646,7704.170000000001,774,4061,4835,Terlalu Lembab
173,2011-06-22,Fall,2011,Jun,0,Wed,1,Clear,0.733333,0.693829,7075.0,661,3846,4507,Terlalu Lembab
174,2011-06-23,Fall,2011,Jun,0,Thu,1,Misty,0.728333,0.693833,7033.329999999999,746,4044,4790,Terlalu Lembab
175,2011-06-24,Fall,2011,Jun,0,Fri,1,Clear,0.724167,0.656583,5733.33,969,4022,4991,Terlalu Lembab
176,2011-06-25,Fall,2011,Jun,0,Sat,0,Clear,0.695,0.643313,4833.33,1782,3420,5202,Terlalu Lembab
177,2011-06-26,Fall,2011,Jun,0,Sun,0,Clear,0.68,0.637629,5133.33,1920,3385,5305,Terlalu Lembab
178,2011-06-27,Fall,2011,Jun,0,Mon,1,Misty,0.6825,0.637004,6583.329999999999,854,3854,4708,Terlalu Lembab
179,2011-06-28,Fall,2011,Jun,0,Tue,1,Clear,0.744167,0.692558,6341.670000000001,732,3916,4648,Terlalu Lembab
180,2011-06-29,Fall,2011,Jun,0,Wed,1,Clear,0.728333,0.654688,4979.17,848,4377,5225,Terlalu Lembab
181,2011-06-30,Fall,2011,Jun,0,Thu,1,Clear,0.696667,0.637008,4341.670000000001,1027,4488,5515,Terlalu Lembab
182,2011-07-01,Fall,2011,Jul,0,Fri,1,Clear,0.7225,0.652162,3962.5,1246,4116,5362,Terlalu Lembab
183,2011-07-02,Fall,2011,Jul,0,Sat,0,Clear,0.738333,0.667308,4445.83,2204,2915,5119,Terlalu Lembab
184,2011-07-03,Fall,2011,Jul,0,Sun,0,Misty,0.716667,0.668575,6825.0,2282,2367,4649,Terlalu Lembab
185,2011-07-04,Fall,2011,Jul,1,Mon,0,Misty,0.726667,0.665417,6379.17,3065,2978,6043,Terlalu Lembab
186,2011-07-05,Fall,2011,Jul,0,Tue,1,Clear,0.746667,0.696338,5904.17,1031,3634,4665,Terlalu Lembab
187,2011-07-06,Fall,2011,Jul,0,Wed,1,Clear,0.72,0.685633,7433.330000000001,784,3845,4629,Terlalu Lembab
188,2011-07-07,Fall,2011,Jul,0,Thu,1,Clear,0.75,0.686871,6512.5,754,3838,4592,Terlalu Lembab
189,2011-07-08,Fall,2011,Jul,0,Fri,1,Misty,0.709167,0.670483,7579.169999999999,692,3348,4040,Terlalu Lembab
190,2011-07-09,Fall,2011,Jul,0,Sat,0,Clear,0.733333,0.664158,6091.67,1988,3348,5336,Terlalu Lembab
191,2011-07-10,Fall,2011,Jul,0,Sun,0,Clear,0.7475,0.690025,5783.33,1743,3138,4881,Terlalu Lembab
192,2011-07-11,Fall,2011,Jul,0,Mon,1,Clear,0.7625,0.729804,6358.33,723,3363,4086,Terlalu Lembab
193,2011-07-12,Fall,2011,Jul,0,Tue,1,Clear,0.794167,0.739275,5591.67,662,3596,4258,Terlalu Lembab
194,2011-07-13,Fall,2011,Jul,0,Wed,1,Clear,0.746667,0.689404,6316.67,748,3594,4342,Terlalu Lembab
195,2011-07-14,Fall,2011,Jul,0,Thu,1,Clear,0.680833,0.635104,4762.5,888,4196,5084,Terlalu Lembab
196,2011-07-15,Fall,2011,Jul,0,Fri,1,Clear,0.663333,0.624371,5912.500000000001,1318,4220,5538,Terlalu Lembab
197,2011-07-16,Fall,2011,Jul,0,Sat,0,Clear,0.686667,0.638263,5850.0,2418,3505,5923,Terlalu Lembab
198,2011-07-17,Fall,2011,Jul,0,Sun,0,Clear,0.719167,0.669833,6041.67,2006,3296,5302,Terlalu Lembab
199,2011-07-18,Fall,2011,Jul,0,Mon,1,Clear,0.746667,0.703925,6512.5,841,3617,4458,Terlalu Lembab
200,2011-07-19,Fall,2011,Jul,0,Tue,1,Clear,0.776667,0.747479,6504.170000000001,752,3789,4541,Terlalu Lembab
201,2011-07-20,Fall,2011,Jul,0,Wed,1,Clear,0.768333,0.74685,7070.830000000001,644,3688,4332,Terlalu Lembab
202,2011-07-21,Fall,2011,Jul,0,Thu,1,Misty,0.815,0.826371,6912.5,632,3152,3784,Terlalu Lembab
203,2011-07-22,Fall,2011,Jul,0,Fri,1,Clear,0.848333,0.840896,5804.17,562,2825,3387,Terlalu Lembab
204,2011-07-23,Fall,2011,Jul,0,Sat,0,Clear,0.849167,0.804287,5000.0,987,2298,3285,Terlalu Lembab
205,2011-07-24,Fall,2011,Jul,0,Sun,0,Clear,0.83,0.794829,5508.33,1050,2556,3606,Terlalu Lembab
206,2011-07-25,Fall,2011,Jul,0,Mon,1,Clear,0.743333,0.720958,7570.829999999999,568,3272,3840,Terlalu Lembab
207,2011-07-26,Fall,2011,Jul,0,Tue,1,Clear,0.771667,0.696979,5408.33,750,3840,4590,Terlalu Lembab
208,2011-07-27,Fall,2011,Jul,0,Wed,1,Clear,0.775,0.690667,4029.1700000000005,755,3901,4656,Terlalu Lembab
209,2011-07-28,Fall,2011,Jul,0,Thu,1,Clear,0.779167,0.7399,5833.33,606,3784,4390,Terlalu Lembab
210,2011-07-29,Fall,2011,Jul,0,Fri,1,Clear,0.838333,0.785967,5425.0,670,3176,3846,Terlalu Lembab
