instant,dateday,season,year,month,hour,holiday,day_of_week,workingday,weather_situation,temp,atemp,humidity,casual,registered,count,humidity_category
23,2011-01-01,Spring,2011,Jan,22,0,Sat,0,Misty,0.4,0.4091,9400.0,11,17,28,Terlalu Lembab
24,2011-01-01,Spring,2011,Jan,23,0,Sat,0,Misty,0.46,0.4545,8800.0,15,24,39,Terlalu Lembab
25,2011-01-02,Spring,2011,Jan,0,0,Sun,0,Misty,0.46,0.4545,8800.0,4,13,17,Terlalu Lembab
26,2011-01-02,Spring,2011,Jan,1,0,Sun,0,Misty,0.44,0.4394,9400.0,1,16,17,Terlalu Lembab
27,2011-01-02,Spring,2011,Jan,2,0,Sun,0,Misty,0.42,0.4242,10000.0,1,8,9,Terlalu Lembab
28,2011-01-02,Spring,2011,Jan,3,0,Sun,0,Misty,0.46,0.4545,9400.0,2,4,6,Terlalu Lembab
29,2011-01-02,Spring,2011,Jan,4,0,Sun,0,Misty,0.46,0.4545,9400.0,2,1,3,Terlalu Lembab
30,2011-01-02,Spring,2011,Jan,6,0,Sun,0,Light_rainsnow,0.42,0.4242,7700.0,0,2,2,Terlalu Lembab
31,2011-01-02,Spring,2011,Jan,7,0,Sun,0,Misty,0.4,0.4091,7600.0,0,1,1,Terlalu Lembab
32,2011-01-02,Spring,2011,Jan,8,0,Sun,0,Light_rainsnow,0.4,0.4091,7100.0,0,8,8,Terlalu Lembab
33,2011-01-02,Spring,2011,Jan,9,0,Sun,0,Misty,0.38,0.3939,7600.0,1,19,20,Terlalu Lembab
34,2011-01-02,Spring,2011,Jan,10,0,Sun,0,Misty,0.36,0.3485,8100.0,7,46,53,Terlalu Lembab
35,2011-01-02,Spring,2011,Jan,11,0,Sun,0,Misty,0.36,0.3333,7100.0,16,54,70,Terlalu Lembab
36,2011-01-02,Spring,2011,Jan,12,0,Sun,0,Misty,0.36,0.3333,6600.0,20,73,93,Terlalu Lembab
37,2011-01-02,Spring,2011,Jan,13,0,Sun,0,Misty,0.36,0.3485,6600.0,11,64,75,Terlalu Lembab
38,2011-01-02,Spring,2011,Jan,14,0,Sun,0,Light_rainsnow,0.36,0.3485,7600.0,4,55,59,Terlalu Lembab
39,2011-01-02,Spring,2011,Jan,15,0,Sun,0,Light_rainsnow,0.34,0.3333,8100.0,19,55,74,Terlalu Lembab
40,2011-01-02,Spring,2011,Jan,16,0,Sun,0,Light_rainsnow,0.34,0.3333,7100.0,9,67,76,Terlalu Lembab
41,2011-01-02,Spring,2011,Jan,17,0,Sun,0,Clear,0.34,0.3333,5699.999999999999,7,58,65,Terlalu Lembab
42,2011-01-02,Spring,2011,Jan,18,0,Sun,0,Misty,0.36,0.3333,4600.0,10,43,53,Terlalu Lembab
43,2011-01-02,Spring,2011,Jan,19,0,Sun,0,Clear,0.32,0.2879,4200.0,1,29,30,Terlalu Lembab
44,2011-01-02,Spring,2011,Jan,20,0,Sun,0,Clear,0.3,0.2727,3900.0,5,17,22,Terlalu Lembab
45,2011-01-02,Spring,2011,Jan,21,0,Sun,0,Clear,0.26,0.2273,4400.0,11,20,31,Terlalu Lembab
46,2011-01-02,Spring,2011,Jan,22,0,Sun,0,Clear,0.24,0.2121,4400.0,0,9,9,Terlalu Lembab
47,2011-01-02,Spring,2011,Jan,23,0,Sun,0,Clear,0.22,0.2273,4700.0,0,8,8,Terlalu Lembab
48,2011-01-03,Spring,2011,Jan,0,0,Mon,1,Clear,0.22,0.197,4400.0,0,5,5,Terlalu Lembab
49,2011-01-03,Spring,2011,Jan,1,0,Mon,1,Clear,0.2,0.1667,4400.0,0,2,2,Terlalu Lembab
50,2011-01-03,Spring,2011,Jan,4,0,Mon,1,Clear,0.16,0.1364,4700.0,0,1,1,Terlalu Lembab
51,2011-01-03,Spring,2011,Jan,5,0,Mon,1,Clear,0.16,0.1364,4700.0,0,3,3,Terlalu Lembab
52,2011-01-03,Spring,2011,Jan,6,0,Mon,1,Clear,0.14,0.1061,5000.0,0,30,30,Terlalu Lembab
53,2011-01-03,Spring,2011,Jan,7,0,Mon,1,Clear,0.14,0.1364,5000.0,1,63,64,Terlalu Lembab
54,2011-01-03,Spring,2011,Jan,8,0,Mon,1,Clear,0.14,0.1212,5000.0,1,153,154,Terlalu Lembab
55,2011-01-03,Spring,2011,Jan,9,0,Mon,1,Clear,0.16,0.1364,4300.0,7,81,88,Terlalu Lembab
56,2011-01-03,Spring,2011,Jan,10,0,Mon,1,Clear,0.18,0.1667,4300.0,11,33,44,Terlalu Lembab
57,2011-01-03,Spring,2011,Jan,11,0,Mon,1,Clear,0.2,0.1818,4000.0,10,41,51,Terlalu Lembab
58,2011-01-03,Spring,2011,Jan,12,0,Mon,1,Clear,0.22,0.2121,3500.0,13,48,61,Terlalu Lembab
59,2011-01-03,Spring,2011,Jan,13,0,Mon,1,Clear,0.24,0.2121,3500.0,8,53,61,Terlalu Lembab
60,2011-01-03,Spring,2011,Jan,14,0,Mon,1,Clear,0.26,0.2424,3000.0,11,66,77,Terlalu Lembab
61,2011-01-03,Spring,2011,Jan,15,0,Mon,1,Clear,0.26,0.2424,3000.0,14,58,72,Terlalu Lembab
62,2011-01-03,Spring,2011,Jan,16,0,Mon,1,Clear,0.26,0.2424,3000.0,9,67,76,Terlalu Lembab
63,2011-01-03,Spring,2011,Jan,17,0,Mon,1,Clear,0.24,0.2273,3000.0,11,146,157,Terlalu Lembab
64,2011-01-03,Spring,2011,Jan,18,0,Mon,1,Clear,0.24,0.2576,3200.0,9,148,157,Terlalu Lembab
65,2011-01-03,Spring,2011,Jan,19,0,Mon,1,Clear,0.2,0.2576,4700.0,8,102,110,Terlalu Lembab
66,2011-01-03,Spring,2011,Jan,20,0,Mon,1,Clear,0.2,0.2273,4700.0,3,49,52,Terlalu Lembab
67,2011-01-03,Spring,2011,Jan,21,0,Mon,1,Clear,0.18,0.197,6400.0,3,49,52,Terlalu Lembab
68,2011-01-03,Spring,2011,Jan,22,0,Mon,1,Clear,0.14,0.1515,6900.0,0,20,20,Terlalu Lembab
69,2011-01-03,Spring,2011,Jan,23,0,Mon,1,Clear,0.18,0.2121,5500.000000000001,1,11,12,Terlalu Lembab
70,2011-01-04,Spring,2011,Jan,0,0,Tue,1,Clear,0.16,0.1818,5500.000000000001,0,5,5,Terlalu Lembab
71,2011-01-04,Spring,2011,Jan,1,0,Tue,1,Clear,0.16,0.1818,5900.0,0,2,2,Terlalu Lembab
72,2011-01-04,Spring,2011,Jan,2,0,Tue,1,Clear,0.14,0.1515,6300.0,0,1,1,Terlalu Lembab
73,2011-01-04,Spring,2011,Jan,4,0,Tue,1,Clear,0.14,0.1818,6300.0,0,2,2,Terlalu Lembab
74,2011-01-04,Spring,2011,Jan,5,0,Tue,1,Clear,0.12,0.1515,6800.0,0,4,4,Terlalu Lembab
75,2011-01-04,Spring,2011,Jan,6,0,Tue,1,Clear,0.12,0.1515,7400.0,0,36,36,Terlalu Lembab
76,2011-01-04,Spring,2011,Jan,7,0,Tue,1,Clear,0.12,0.1515,7400.0,2,92,94,Terlalu Lembab
77,2011-01-04,Spring,2011,Jan,8,0,Tue,1,Clear,0.14,0.1515,6900.0,2,177,179,Terlalu Lembab
78,2011-01-04,Spring,2011,Jan,9,0,Tue,1,Clear,0.16,0.1515,6400.0,2,98,100,Terlalu Lembab
79,2011-01-04,Spring,2011,Jan,10,0,Tue,1,Misty,0.16,0.1364,6900.0,5,37,42,Terlalu Lembab
80,2011-01-04,Spring,2011,Jan,11,0,Tue,1,Clear,0.22,0.2121,5100.0,7,50,57,Terlalu Lembab
81,2011-01-04,Spring,2011,Jan,12,0,Tue,1,Clear,0.22,0.2273,5100.0,12,66,78,Terlalu Lembab
82,2011-01-04,Spring,2011,Jan,13,0,Tue,1,Clear,0.24,0.2273,5600.000000000001,18,79,97,Terlalu Lembab
83,2011-01-04,Spring,2011,Jan,14,0,Tue,1,Clear,0.26,0.2576,5200.0,9,54,63,Terlalu Lembab
84,2011-01-04,Spring,2011,Jan,15,0,Tue,1,Clear,0.28,0.2727,5200.0,17,48,65,Terlalu Lembab
85,2011-01-04,Spring,2011,Jan,16,0,Tue,1,Clear,0.3,0.2879,4900.0,15,68,83,Terlalu Lembab
86,2011-01-04,Spring,2011,Jan,17,0,Tue,1,Clear,0.28,0.2727,4800.0,10,202,212,Terlalu Lembab
87,2011-01-04,Spring,2011,Jan,18,0,Tue,1,Clear,0.26,0.2576,4800.0,3,179,182,Terlalu Lembab
88,2011-01-04,Spring,2011,Jan,19,0,Tue,1,Clear,0.24,0.2576,4800.0,2,110,112,Terlalu Lembab
89,2011-01-04,Spring,2011,Jan,20,0,Tue,1,Clear,0.24,0.2576,4800.0,1,53,54,Terlalu Lembab
90,2011-01-04,Spring,2011,Jan,21,0,Tue,1,Clear,0.22,0.2727,6400.0,0,48,48,Terlalu Lembab
91,2011-01-04,Spring,2011,Jan,22,0,Tue,1,Clear,0.22,0.2576,6400.0,1,34,35,Terlalu Lembab
92,2011-01-04,Spring,2011,Jan,23,0,Tue,1,Clear,0.2,0.2273,6900.0,2,9,11,Terlalu Lembab
93,2011-01-05,Spring,2011,Jan,0,0,Wed,1,Clear,0.2,0.2576,6400.0,0,6,6,Terlalu Lembab
94,2011-01-05,Spring,2011,Jan,1,0,Wed,1,Clear,0.16,0.197,7400.0,0,6,6,Terlalu Lembab
95,2011-01-05,Spring,2011,Jan,2,0,Wed,1,Clear,0.16,0.197,7400.0,0,2,2,Terlalu Lembab
96,2011-01-05,Spring,2011,Jan,4,0,Wed,1,Clear,0.24,0.2273,4800.0,0,2,2,Terlalu Lembab
97,2011-01-05,Spring,2011,Jan,5,0,Wed,1,Clear,0.22,0.2273,4700.0,0,3,3,Terlalu Lembab
98,2011-01-05,Spring,2011,Jan,6,0,Wed,1,Clear,0.2,0.197,4700.0,0,33,33,Terlalu Lembab
99,2011-01-05,Spring,2011,Jan,7,0,Wed,1,Clear,0.18,0.1818,4300.0,1,87,88,Terlalu Lembab
100,2011-01-05,Spring,2011,Jan,8,0,Wed,1,Clear,0.2,0.1818,4000.0,3,192,195,Terlalu Lembab
101,2011-01-05,Spring,2011,Jan,9,0,Wed,1,Clear,0.22,0.197,3700.0,6,109,115,Terlalu Lembab
102,2011-01-05,Spring,2011,Jan,10,0,Wed,1,Clear,0.22,0.197,3700.0,4,53,57,Terlalu Lembab
103,2011-01-05,Spring,2011,Jan,11,0,Wed,1,Clear,0.26,0.2273,3300.0,12,34,46,Terlalu Lembab
104,2011-01-05,Spring,2011,Jan,12,0,Wed,1,Clear,0.26,0.2273,3300.0,5,74,79,Terlalu Lembab
105,2011-01-05,Spring,2011,Jan,13,0,Wed,1,Clear,0.28,0.2576,3000.0,6,65,71,Terlalu Lembab
106,2011-01-05,Spring,2011,Jan,14,0,Wed,1,Clear,0.3,0.2879,2800.0000000000005,10,52,62,Terlalu Lembab
107,2011-01-05,Spring,2011,Jan,15,0,Wed,1,Clear,0.3,0.2879,2800.0000000000005,7,55,62,Terlalu Lembab
108,2011-01-05,Spring,2011,Jan,16,0,Wed,1,Clear,0.3,0.3182,2800.0000000000005,4,85,89,Terlalu Lembab
109,2011-01-05,Spring,2011,Jan,17,0,Wed,1,Clear,0.24,0.2273,3800.0,4,186,190,Terlalu Lembab
110,2011-01-05,Spring,2011,Jan,18,0,Wed,1,Clear,0.24,0.2424,3800.0,3,166,169,Terlalu Lembab
111,2011-01-05,Spring,2011,Jan,19,0,Wed,1,Clear,0.24,0.2576,3800.0,5,127,132,Terlalu Lembab
112,2011-01-05,Spring,2011,Jan,20,0,Wed,1,Clear,0.22,0.2273,4700.0,7,82,89,Terlalu Lembab
113,2011-01-05,Spring,2011,Jan,21,0,Wed,1,Clear,0.2,0.197,5100.0,3,40,43,Terlalu Lembab
114,2011-01-05,Spring,2011,Jan,22,0,Wed,1,Clear,0.18,0.197,5500.000000000001,1,41,42,Terlalu Lembab
115,2011-01-05,Spring,2011,Jan,23,0,Wed,1,Clear,0.2,0.2576,4700.0,1,18,19,Terlalu Lembab
116,2011-01-06,Spring,2011,Jan,0,0,Thu,1,Clear,0.18,0.2424,5500.000000000001,0,11,11,Terlalu Lembab
117,2011-01-06,Spring,2011,Jan,1,0,Thu,1,Clear,0.16,0.2273,6400.0,0,4,4,Terlalu Lembab
118,2011-01-06,Spring,2011,Jan,2,0,Thu,1,Clear,0.16,0.2273,6400.0,0,2,2,Terlalu Lembab
119,2011-01-06,Spring,2011,Jan,4,0,Thu,1,Misty,0.16,0.197,6400.0,0,1,1,Terlalu Lembab
120,2011-01-06,Spring,2011,Jan,5,0,Thu,1,Misty,0.14,0.1818,6900.0,0,4,4,Terlalu Lembab
121,2011-01-06,Spring,2011,Jan,6,0,Thu,1,Misty,0.14,0.1667,6300.0,0,36,36,Terlalu Lembab
122,2011-01-06,Spring,2011,Jan,7,0,Thu,1,Misty,0.16,0.2273,5900.0,0,95,95,Terlalu Lembab
123,2011-01-06,Spring,2011,Jan,8,0,Thu,1,Clear,0.16,0.2273,5900.0,3,216,219,Terlalu Lembab
124,2011-01-06,Spring,2011,Jan,9,0,Thu,1,Misty,0.18,0.2424,5100.0,6,116,122,Terlalu Lembab
125,2011-01-06,Spring,2011,Jan,10,0,Thu,1,Clear,0.2,0.2576,4700.0,3,42,45,Terlalu Lembab
126,2011-01-06,Spring,2011,Jan,11,0,Thu,1,Clear,0.22,0.2576,4400.0,2,57,59,Terlalu Lembab
127,2011-01-06,Spring,2011,Jan,12,0,Thu,1,Clear,0.26,0.2879,3500.0,6,78,84,Terlalu Lembab
128,2011-01-06,Spring,2011,Jan,13,0,Thu,1,Clear,0.26,0.2727,3500.0,12,55,67,Terlalu Lembab
129,2011-01-06,Spring,2011,Jan,14,0,Thu,1,Clear,0.28,0.2727,3600.0,11,59,70,Terlalu Lembab
130,2011-01-06,Spring,2011,Jan,15,0,Thu,1,Clear,0.28,0.2727,3600.0,8,54,62,Terlalu Lembab
131,2011-01-06,Spring,2011,Jan,16,0,Thu,1,Clear,0.26,0.2576,3800.0,12,74,86,Terlalu Lembab
132,2011-01-06,Spring,2011,Jan,17,0,Thu,1,Clear,0.22,0.2273,5100.0,9,163,172,Terlalu Lembab
133,2011-01-06,Spring,2011,Jan,18,0,Thu,1,Clear,0.22,0.2273,5100.0,5,158,163,Terlalu Lembab
134,2011-01-06,Spring,2011,Jan,19,0,Thu,1,Clear,0.22,0.2576,5500.000000000001,3,109,112,Terlalu Lembab
135,2011-01-06,Spring,2011,Jan,20,0,Thu,1,Clear,0.2,0.2121,5100.0,3,66,69,Terlalu Lembab
136,2011-01-06,Spring,2011,Jan,21,0,Thu,1,Misty,0.22,0.2121,5500.000000000001,0,48,48,Terlalu Lembab
137,2011-01-06,Spring,2011,Jan,22,0,Thu,1,Misty,0.22,0.2121,5100.0,1,51,52,Terlalu Lembab
138,2011-01-06,Spring,2011,Jan,23,0,Thu,1,Misty,0.2,0.197,5900.0,4,19,23,Terlalu Lembab
139,2011-01-07,Spring,2011,Jan,0,0,Fri,1,Misty,0.2,0.197,6400.0,4,13,17,Terlalu Lembab
140,2011-01-07,Spring,2011,Jan,1,0,Fri,1,Misty,0.2,0.197,6900.0,2,5,7,Terlalu Lembab
141,2011-01-07,Spring,2011,Jan,2,0,Fri,1,Misty,0.2,0.197,6900.0,0,1,1,Terlalu Lembab
142,2011-01-07,Spring,2011,Jan,4,0,Fri,1,Misty,0.2,0.2121,6900.0,0,1,1,Terlalu Lembab
143,2011-01-07,Spring,2011,Jan,5,0,Fri,1,Light_rainsnow,0.22,0.2727,5500.000000000001,0,5,5,Terlalu Lembab
144,2011-01-07,Spring,2011,Jan,6,0,Fri,1,Misty,0.2,0.2576,6900.0,8,26,34,Terlalu Lembab
145,2011-01-07,Spring,2011,Jan,7,0,Fri,1,Clear,0.2,0.2121,6900.0,8,76,84,Terlalu Lembab
146,2011-01-07,Spring,2011,Jan,8,0,Fri,1,Clear,0.2,0.197,5100.0,20,190,210,Terlalu Lembab
147,2011-01-07,Spring,2011,Jan,9,0,Fri,1,Clear,0.2,0.1818,4700.0,9,125,134,Terlalu Lembab
148,2011-01-07,Spring,2011,Jan,10,0,Fri,1,Clear,0.22,0.197,3700.0,16,47,63,Terlalu Lembab
149,2011-01-07,Spring,2011,Jan,11,0,Fri,1,Misty,0.2,0.197,4000.0,19,48,67,Terlalu Lembab
150,2011-01-07,Spring,2011,Jan,12,0,Fri,1,Misty,0.2,0.197,3700.0,9,50,59,Terlalu Lembab
151,2011-01-07,Spring,2011,Jan,13,0,Fri,1,Misty,0.2,0.1818,3700.0,9,64,73,Terlalu Lembab
152,2011-01-07,Spring,2011,Jan,14,0,Fri,1,Misty,0.2,0.197,4000.0,7,43,50,Terlalu Lembab
153,2011-01-07,Spring,2011,Jan,15,0,Fri,1,Misty,0.2,0.2121,3700.0,9,63,72,Terlalu Lembab
154,2011-01-07,Spring,2011,Jan,16,0,Fri,1,Misty,0.2,0.2121,3700.0,5,82,87,Terlalu Lembab
155,2011-01-07,Spring,2011,Jan,17,0,Fri,1,Misty,0.2,0.2576,3700.0,9,178,187,Terlalu Lembab
156,2011-01-07,Spring,2011,Jan,18,0,Fri,1,Clear,0.2,0.2273,4000.0,7,116,123,Terlalu Lembab
157,2011-01-07,Spring,2011,Jan,19,0,Fri,1,Clear,0.16,0.197,5500.000000000001,3,92,95,Terlalu Lembab
158,2011-01-07,Spring,2011,Jan,20,0,Fri,1,Clear,0.18,0.2121,4700.0,1,50,51,Terlalu Lembab
159,2011-01-07,Spring,2011,Jan,21,0,Fri,1,Clear,0.18,0.197,4700.0,0,39,39,Terlalu Lembab
160,2011-01-07,Spring,2011,Jan,22,0,Fri,1,Misty,0.18,0.197,4300.0,2,34,36,Terlalu Lembab
161,2011-01-07,Spring,2011,Jan,23,0,Fri,1,Misty,0.18,0.197,5100.0,1,14,15,Terlalu Lembab
162,2011-01-08,Spring,2011,Jan,0,0,Sat,0,Misty,0.18,0.197,5100.0,1,24,25,Terlalu Lembab
163,2011-01-08,Spring,2011,Jan,1,0,Sat,0,Misty,0.18,0.2121,5500.000000000001,1,15,16,Terlalu Lembab
164,2011-01-08,Spring,2011,Jan,2,0,Sat,0,Misty,0.18,0.2424,5500.000000000001,3,13,16,Terlalu Lembab
165,2011-01-08,Spring,2011,Jan,3,0,Sat,0,Light_rainsnow,0.18,0.197,5500.000000000001,0,7,7,Terlalu Lembab
166,2011-01-08,Spring,2011,Jan,4,0,Sat,0,Light_rainsnow,0.18,0.197,5500.000000000001,0,1,1,Terlalu Lembab
167,2011-01-08,Spring,2011,Jan,5,0,Sat,0,Misty,0.16,0.1667,7400.0,0,5,5,Terlalu Lembab
168,2011-01-08,Spring,2011,Jan,6,0,Sat,0,Misty,0.16,0.1667,7400.0,0,2,2,Terlalu Lembab
169,2011-01-08,Spring,2011,Jan,7,0,Sat,0,Misty,0.16,0.1818,7400.0,1,8,9,Terlalu Lembab
170,2011-01-08,Spring,2011,Jan,8,0,Sat,0,Light_rainsnow,0.16,0.1818,9300.0,0,15,15,Terlalu Lembab
171,2011-01-08,Spring,2011,Jan,9,0,Sat,0,Light_rainsnow,0.16,0.1818,9300.0,0,20,20,Terlalu Lembab
172,2011-01-08,Spring,2011,Jan,10,0,Sat,0,Misty,0.18,0.197,8000.0,5,56,61,Terlalu Lembab
173,2011-01-08,Spring,2011,Jan,11,0,Sat,0,Misty,0.2,0.1818,6900.0,2,60,62,Terlalu Lembab
174,2011-01-08,Spring,2011,Jan,12,0,Sat,0,Misty,0.2,0.1818,5900.0,8,90,98,Terlalu Lembab
175,2011-01-08,Spring,2011,Jan,13,0,Sat,0,Clear,0.2,0.1818,4400.0,7,95,102,Terlalu Lembab
176,2011-01-08,Spring,2011,Jan,14,0,Sat,0,Clear,0.2,0.1667,3200.0,12,83,95,Terlalu Lembab
177,2011-01-08,Spring,2011,Jan,15,0,Sat,0,Clear,0.2,0.1667,3200.0,5,69,74,Terlalu Lembab
178,2011-01-08,Spring,2011,Jan,16,0,Sat,0,Clear,0.18,0.1364,2899.9999999999995,8,68,76,Terlalu Lembab
179,2011-01-08,Spring,2011,Jan,17,0,Sat,0,Clear,0.16,0.1212,3700.0,5,64,69,Terlalu Lembab
180,2011-01-08,Spring,2011,Jan,18,0,Sat,0,Clear,0.14,0.1212,3900.0,3,52,55,Terlalu Lembab
181,2011-01-08,Spring,2011,Jan,19,0,Sat,0,Clear,0.14,0.1212,3600.0,4,26,30,Terlalu Lembab
182,2011-01-08,Spring,2011,Jan,20,0,Sat,0,Clear,0.12,0.1212,3600.0,0,28,28,Terlalu Lembab
183,2011-01-08,Spring,2011,Jan,21,0,Sat,0,Clear,0.12,0.1061,3900.0,2,35,37,Terlalu Lembab
184,2011-01-08,Spring,2011,Jan,22,0,Sat,0,Clear,0.12,0.1061,3600.0,1,33,34,Terlalu Lembab
185,2011-01-08,Spring,2011,Jan,23,0,Sat,0,Clear,0.1,0.0606,3900.0,0,22,22,Terlalu Lembab
186,2011-01-09,Spring,2011,Jan,0,0,Sun,0,Clear,0.1,0.0758,4200.0,1,24,25,Terlalu Lembab
187,2011-01-09,Spring,2011,Jan,1,0,Sun,0,Clear,0.1,0.0606,4200.0,0,12,12,Terlalu Lembab
188,2011-01-09,Spring,2011,Jan,2,0,Sun,0,Clear,0.1,0.0606,4600.0,0,11,11,Terlalu Lembab
189,2011-01-09,Spring,2011,Jan,3,0,Sun,0,Clear,0.1,0.0758,4600.0,0,4,4,Terlalu Lembab
190,2011-01-09,Spring,2011,Jan,4,0,Sun,0,Clear,0.08,0.0909,5300.0,0,1,1,Terlalu Lembab
191,2011-01-09,Spring,2011,Jan,5,0,Sun,0,Clear,0.08,0.0909,5300.0,0,1,1,Terlalu Lembab
192,2011-01-09,Spring,2011,Jan,6,0,Sun,0,Clear,0.1,0.0909,4900.0,0,1,1,Terlalu Lembab
193,2011-01-09,Spring,2011,Jan,7,0,Sun,0,Clear,0.08,0.0909,5300.0,1,5,6,Terlalu Lembab
194,2011-01-09,Spring,2011,Jan,8,0,Sun,0,Clear,0.1,0.0909,4900.0,0,10,10,Terlalu Lembab
195,2011-01-09,Spring,2011,Jan,9,0,Sun,0,Clear,0.12,0.0758,4600.0,0,19,19,Terlalu Lembab
196,2011-01-09,Spring,2011,Jan,10,0,Sun,0,Clear,0.14,0.1061,4300.0,0,49,49,Terlalu Lembab
197,2011-01-09,Spring,2011,Jan,11,0,Sun,0,Clear,0.16,0.1212,4000.0,2,47,49,Terlalu Lembab
198,2011-01-09,Spring,2011,Jan,12,0,Sun,0,Clear,0.18,0.1364,3700.0,4,79,83,Terlalu Lembab
199,2011-01-09,Spring,2011,Jan,13,0,Sun,0,Clear,0.2,0.1667,3400.0,6,69,75,Terlalu Lembab
200,2011-01-09,Spring,2011,Jan,14,0,Sun,0,Clear,0.22,0.1818,3200.0,8,64,72,Terlalu Lembab
201,2011-01-09,Spring,2011,Jan,15,0,Sun,0,Clear,0.22,0.197,3500.0,5,77,82,Terlalu Lembab
202,2011-01-09,Spring,2011,Jan,16,0,Sun,0,Clear,0.2,0.1667,3400.0,13,79,92,Terlalu Lembab
203,2011-01-09,Spring,2011,Jan,17,0,Sun,0,Clear,0.18,0.1515,3700.0,3,59,62,Terlalu Lembab
204,2011-01-09,Spring,2011,Jan,18,0,Sun,0,Clear,0.16,0.1364,4000.0,4,44,48,Terlalu Lembab
205,2011-01-09,Spring,2011,Jan,19,0,Sun,0,Clear,0.16,0.1364,4300.0,1,40,41,Terlalu Lembab
206,2011-01-09,Spring,2011,Jan,20,0,Sun,0,Clear,0.14,0.1212,4600.0,0,38,38,Terlalu Lembab
207,2011-01-09,Spring,2011,Jan,21,0,Sun,0,Clear,0.14,0.1061,4600.0,1,19,20,Terlalu Lembab
208,2011-01-09,Spring,2011,Jan,22,0,Sun,0,Clear,0.14,0.1212,4600.0,5,10,15,Terlalu Lembab
209,2011-01-09,Spring,2011,Jan,23,0,Sun,0,Clear,0.12,0.1364,5000.0,0,6,6,Terlalu Lembab
210,2011-01-10,Spring,2011,Jan,0,0,Mon,1,Clear,0.12,0.1212,5000.0,2,3,5,Terlalu Lembab
211,2011-01-10,Spring,2011,Jan,1,0,Mon,1,Clear,0.12,0.1212,5000.0,1,0,1,Terlalu Lembab
212,2011-01-10,Spring,2011,Jan,2,0,Mon,1,Clear,0.12,0.1212,5000.0,0,3,3,Terlalu Lembab
213,2011-01-10,Spring,2011,Jan,3,0,Mon,1,Clear,0.12,0.1212,5000.0,0,1,1,Terlalu Lembab
214,2011-01-10,Spring,2011,Jan,4,0,Mon,1,Clear,0.1,0.1212,5400.0,1,2,3,Terlalu Lembab
215,2011-01-10,Spring,2011,Jan,5,0,Mon,1,Clear,0.1,0.1061,5400.0,0,3,3,Terlalu Lembab
